fcount,fps,fps_avg
5,1.95963,1.95963
10,4.65459,2.75803
15,5.14648,3.26274
20,4.97473,3.56985
25,4.99478,3.78583
30,4.92123,3.93721
35,5.05808,4.06591
40,5.10624,4.17214
45,4.78808,4.23262
50,4.94663,4.2946
55,5.00491,4.35072
60,5.09729,4.40446
65,5.24416,4.45938
70,5.03245,4.49593
75,5.03364,4.52817
80,5.01271,4.55568
85,5.05475,4.58229
90,4.92567,4.60009
95,5.02298,4.62056
100,5.08057,4.64156
105,5.1411,4.66313
110,5.05798,4.67973
115,4.9524,4.69095
120,5.09142,4.70637
125,4.96705,4.71626
130,5.15812,4.73184
135,4.94586,4.73943
140,5.08285,4.75089
145,5.07687,4.76142
150,5.11333,4.77237
155,5.00146,4.77942
160,4.93534,4.78414
165,5.07523,4.79246
170,4.98191,4.79782
175,5.10692,4.80613
180,5.0405,4.81234
185,5.34236,4.82527
190,5.07553,4.83154
195,4.988,4.83542
200,4.96993,4.83869
205,4.85449,4.83907
210,4.92555,4.84109
215,4.91113,4.84269
220,5.10902,4.84843
225,4.95174,4.85067
230,5.21001,4.85795
235,5.14479,4.86372
240,4.97396,4.86596
245,4.99282,4.86848
250,4.85817,4.86827
255,5.0414,4.87155
260,5.16798,4.87692
265,5.09016,4.88078
270,5.14259,4.88538
275,5.09886,4.8891
280,4.9254,4.88974
285,5.08285,4.893
290,5.03442,4.89536
295,5.0075,4.89722
300,5.05489,4.89976
305,5.07904,4.9026
310,5.06029,4.90506
315,4.78948,4.90318
320,4.99281,4.90455
325,4.99144,4.90586
330,5.25121,4.91075
335,5.13607,4.91397
340,5.07203,4.91622
345,5.02607,4.91777
350,4.9151,4.91773
355,5.16466,4.92104
360,5.09822,4.92342
365,5.14953,4.92638
370,5.04531,4.92794
375,4.87282,4.9272
380,5.147,4.92996
385,5.15925,4.93281
390,5.16075,4.9356
395,5.106,4.93768
400,5.00726,4.93854
405,5.03338,4.93969
410,5.12445,4.94186
415,4.95623,4.94203
420,5.04265,4.9432
425,5.01507,4.94403
430,5.14179,4.94624
435,4.96178,4.94642
440,5.07688,4.94786
445,5.05571,4.94904
450,5.02706,4.94989
455,4.92376,4.9496
460,4.92322,4.94931
465,5.07643,4.95064
470,5.05177,4.95169
475,5.01501,4.95235
480,5.07727,4.95362
485,4.90364,4.95309
490,5.04656,4.95403
495,5.06129,4.95509
500,5.17532,4.95719
505,4.26608,4.94925
510,5.67447,4.95546
515,5.47748,4.96005
520,5.54932,4.96512
525,5.66049,4.97093
530,5.6431,4.97652
535,5.53578,4.98122
540,5.74491,4.98736
545,5.76631,4.99354
550,5.50745,4.99778
555,5.65106,5.00299
560,5.59742,5.00774
565,5.69067,5.01306
570,5.57069,5.01746
575,5.69612,5.02266
580,5.65398,5.0275
585,5.74197,5.03285
590,5.73408,5.03807
595,5.70432,5.04302
600,5.57958,5.04706
605,5.69974,5.05184
610,5.43428,5.05475
615,5.02915,5.05454
620,5.33729,5.0567
625,5.14192,5.05737
630,4.98349,5.05677
635,4.84904,5.05506
640,5.48298,5.05815
645,5.39119,5.06057
650,5.61143,5.06439
655,5.74515,5.06897
660,5.37755,5.07118
665,5.46747,5.07394
670,5.51007,5.07694
675,5.61741,5.08056
680,5.52945,5.08359
685,5.43262,5.08597
690,5.12175,5.08623
695,5.47771,5.08884
700,5.57263,5.092
705,5.71485,5.09594
710,5.77037,5.10013
715,5.56118,5.10309
720,5.59052,5.10618
725,5.44939,5.1084
730,5.60286,5.11148
735,5.63448,5.11471
740,5.01884,5.11405
745,5.41358,5.11595
750,5.65531,5.1192
755,5.58673,5.12204
760,5.73529,5.12564
765,5.35904,5.1271
770,5.58434,5.12983
775,5.57786,5.13249
780,5.63072,5.1354
785,5.34629,5.13669
790,5.10626,5.13649
795,5.1984,5.13687
800,5.60826,5.13957
805,5.78757,5.14315
810,5.58132,5.14564
815,5.63879,5.1484
820,5.64284,5.15115
825,5.67103,5.15401
830,5.70355,5.157
835,5.39214,5.15835
840,5.40554,5.15975
845,5.4166,5.1612
850,5.74518,5.16429
855,5.48443,5.16605
860,5.29803,5.1668
865,5.2039,5.16701
870,5.57456,5.16918
875,5.75721,5.1722
880,5.47415,5.17382
885,5.79692,5.17696
890,5.61443,5.17922
895,5.67858,5.18177
900,5.49869,5.18343
905,5.59707,5.18554
910,5.56081,5.18746
915,5.67258,5.18989
920,5.57208,5.19182
925,5.08933,5.19126
930,5.31066,5.19188
935,5.71442,5.19442
940,5.67138,5.19674
945,5.63161,5.19887
950,5.5793,5.20073
955,5.49035,5.20217
960,5.73805,5.2047
965,5.65065,5.20683
970,5.57887,5.20861
975,4.85707,5.20668
980,5.6418,5.20873
985,5.73164,5.21114
990,5.42411,5.21217
995,5.62565,5.2141
1000,5.61635,5.21596
